movieId,title,genres,tags
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,"Toy, Story, Epic, Action-Packed, Exciting"
2,Jumanji (1995),Adventure|Children|Fantasy,"Jumanji, Epic, Action-Packed, Exciting, Family-Friendly"
3,Grumpier Old Men (1995),Comedy|Romance,"Grumpier, Old, Men, Funny, Lighthearted"
4,Waiting to Exhale (1995),Comedy|Drama|Romance,"Waiting, Exhale, Funny, Lighthearted, Satire"
5,Father of the Bride Part II (1995),Comedy,"Father, Bride, Funny, Lighthearted, Satire"
6,Heat (1995),Action|Crime|Thriller,"Heat, Fast-Paced, Exciting, Adrenaline, Suspense"
7,Sabrina (1995),Comedy|Romance,"Sabrina, Funny, Lighthearted, Satire, Romantic"
8,Tom and Huck (1995),Adventure|Children,"Tom, Huck, Epic, Action-Packed, Exciting"
9,Sudden Death (1995),Action,"Sudden, Death, Fast-Paced, Exciting, Adrenaline"
10,GoldenEye (1995),Action|Adventure|Thriller,"Goldeneye, Fast-Paced, Exciting, Adrenaline, Epic"
11,"American President, The (1995)",Comedy|Drama|Romance,"American, President, Funny, Lighthearted, Satire"
12,Dracula: Dead and Loving It (1995),Comedy|Horror,"Dracula, Dead, Loving, It, Funny"
13,Balto (1995),Adventure|Animation|Children,"Balto, Epic, Action-Packed, Exciting, Family-Friendly"
14,Nixon (1995),Drama,"Nixon, Emotional, Serious, Thought-Provoking"
15,Cutthroat Island (1995),Action|Adventure|Romance,"Cutthroat, Island, Fast-Paced, Exciting, Adrenaline"
16,Casino (1995),Crime|Drama,"Casino, Thriller, Suspense, Noir, Emotional"
17,Sense and Sensibility (1995),Drama|Romance,"Sense, Sensibility, Emotional, Serious, Thought-Provoking"
18,Four Rooms (1995),Comedy,"Four, Rooms, Funny, Lighthearted, Satire"
19,Ace Ventura: When Nature Calls (1995),Comedy,"Ace, Ventura, When, Nature, Calls, Funny"
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,"Money, Train, Fast-Paced, Exciting, Adrenaline"
21,Get Shorty (1995),Comedy|Crime|Thriller,"Get, Shorty, Funny, Lighthearted, Satire"
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,"Copycat, Suspense, Noir, Emotional, Serious"
23,Assassins (1995),Action|Crime|Thriller,"Assassins, Fast-Paced, Exciting, Adrenaline, Suspense"
24,Powder (1995),Drama|Sci-Fi,"Powder, Emotional, Serious, Thought-Provoking, Futuristic"
25,Leaving Las Vegas (1995),Drama|Romance,"Leaving, Las, Vegas, Emotional, Serious"
26,Othello (1995),Drama,"Othello, Emotional, Serious, Thought-Provoking"
27,Now and Then (1995),Children|Drama,"Now, Then, Family-Friendly, Educational, Wholesome"
28,Persuasion (1995),Drama|Romance,"Persuasion, Emotional, Serious, Thought-Provoking, Romantic"
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,"City, Lost, Children, Cité, Des, Epic"
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,"Shanghai, Triad, Yao, Dao, Waipo, Thriller"
31,Dangerous Minds (1995),Drama,"Dangerous, Minds, Emotional, Serious, Thought-Provoking"
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,"Twelve, Monkeys, K, 12, Intriguing"
34,Babe (1995),Children|Drama,"Babe, Family-Friendly, Educational, Wholesome, Emotional"
36,Dead Man Walking (1995),Crime|Drama,"Dead, Man, Walking, Thriller, Suspense"
38,It Takes Two (1995),Children|Comedy,"It, Takes, Two, Family-Friendly, Educational"
39,Clueless (1995),Comedy|Romance,"Clueless, Funny, Lighthearted, Satire, Romantic"
40,"Cry, the Beloved Country (1995)",Drama,"Cry, Beloved, Country, Emotional, Serious"
41,Richard III (1995),Drama|War,"Richard, Emotional, Serious, Thought-Provoking, Intense"
